arrival_iso,device_id,sequence,latency_ms,sent_iso
2025-11-02 03:49:31,dev-004b12c48530,255,59134.345,2025-11-02 03:48:32
2025-11-02 03:49:32,dev-004b12c48530,256,60158.211,2025-11-02 03:48:32
2025-11-02 03:49:33,dev-004b12c48530,257,61182.253,2025-11-02 03:48:32
2025-11-02 03:49:34,dev-004b12c48530,258,62206.272,2025-11-02 03:48:32
2025-11-02 03:49:35,dev-004b12c48530,259,63127.800,2025-11-02 03:48:32
2025-11-02 03:49:36,dev-004b12c48530,260,64151.840,2025-11-02 03:48:32
2025-11-02 03:49:37,dev-004b12c48530,261,-62824.163,2025-11-02 03:50:40
2025-11-02 03:49:38,dev-004b12c48530,262,-61800.207,2025-11-02 03:50:40
2025-11-02 03:49:39,dev-004b12c48530,263,-60776.155,2025-11-02 03:50:40
2025-11-02 03:49:40,dev-004b12c48530,264,-59854.375,2025-11-02 03:50:40
2025-11-02 03:49:41,dev-004b12c48530,265,-58830.424,2025-11-02 03:50:40
2025-11-02 03:49:42,dev-004b12c48530,266,-57806.358,2025-11-02 03:50:40
2025-11-02 03:49:43,dev-004b12c48530,267,-56782.451,2025-11-02 03:50:40
2025-11-02 03:49:44,dev-004b12c48530,268,-55758.164,2025-11-02 03:50:40
2025-11-02 03:49:45,dev-004b12c48530,269,-54836.933,2025-11-02 03:50:40
2025-11-02 03:49:46,dev-004b12c48530,270,-53812.953,2025-11-02 03:50:40
2025-11-02 03:49:47,dev-004b12c48530,271,-52788.885,2025-11-02 03:50:40
2025-11-02 03:49:48,dev-004b12c48530,272,-51764.872,2025-11-02 03:50:40
2025-11-02 03:49:49,dev-004b12c48530,273,-50740.893,2025-11-02 03:50:40
2025-11-02 03:49:50,dev-004b12c48530,274,-49818.927,2025-11-02 03:50:40
2025-11-02 03:49:51,dev-004b12c48530,275,-48795.216,2025-11-02 03:50:40
2025-11-02 03:49:52,dev-004b12c48530,276,-47771.259,2025-11-02 03:50:40
2025-11-02 03:49:53,dev-004b12c48530,277,-46747.319,2025-11-02 03:50:40
2025-11-02 03:49:54,dev-004b12c48530,278,-45723.341,2025-11-02 03:50:40
2025-11-02 03:49:55,dev-004b12c48530,279,-44801.580,2025-11-02 03:50:40
2025-11-02 03:49:56,dev-004b12c48530,280,-43777.556,2025-11-02 03:50:40
2025-11-02 03:49:57,dev-004b12c48530,281,-42753.532,2025-11-02 03:50:40
2025-11-02 03:49:58,dev-004b12c48530,282,-41729.726,2025-11-02 03:50:40
2025-11-02 03:49:59,dev-004b12c48530,283,-40705.688,2025-11-02 03:50:40
2025-11-02 03:50:00,dev-004b12c48530,284,-39784.052,2025-11-02 03:50:40
2025-11-02 03:50:01,dev-004b12c48530,285,-38760.056,2025-11-02 03:50:40
2025-11-02 03:50:02,dev-004b12c48530,286,-37736.140,2025-11-02 03:50:40
2025-11-02 03:50:03,dev-004b12c48530,287,-36711.909,2025-11-02 03:50:40
2025-11-02 03:50:04,dev-004b12c48530,288,-35688.068,2025-11-02 03:50:40
2025-11-02 03:50:05,dev-004b12c48530,289,-34791.532,2025-11-02 03:50:40
2025-11-02 03:50:06,dev-004b12c48530,290,-33785.872,2025-11-02 03:50:40
2025-11-02 03:50:07,dev-004b12c48530,291,-32779.669,2025-11-02 03:50:40
2025-11-02 03:50:08,dev-004b12c48530,292,-31777.444,2025-11-02 03:50:40
2025-11-02 03:50:09,dev-004b12c48530,293,-30670.485,2025-11-02 03:50:40
2025-11-02 03:50:10,dev-004b12c48530,294,-29748.680,2025-11-02 03:50:40
2025-11-02 03:50:11,dev-004b12c48530,295,-28724.629,2025-11-02 03:50:40
2025-11-02 03:50:12,dev-004b12c48530,296,-27700.734,2025-11-02 03:50:40
2025-11-02 03:50:13,dev-004b12c48530,297,-26676.676,2025-11-02 03:50:40
2025-11-02 03:50:14,dev-004b12c48530,298,-25652.599,2025-11-02 03:50:40
2025-11-02 03:50:15,dev-004b12c48530,299,-24731.211,2025-11-02 03:50:40
2025-11-02 03:50:16,dev-004b12c48530,300,-23707.207,2025-11-02 03:50:40
2025-11-02 03:50:17,dev-004b12c48530,301,-22683.208,2025-11-02 03:50:40
2025-11-02 03:50:18,dev-004b12c48530,302,-21659.215,2025-11-02 03:50:40
2025-11-02 03:50:19,dev-004b12c48530,303,-20635.212,2025-11-02 03:50:40
2025-11-02 03:50:20,dev-004b12c48530,304,-19713.660,2025-11-02 03:50:40
2025-11-02 03:50:21,dev-004b12c48530,305,-18689.595,2025-11-02 03:50:40
2025-11-02 03:50:22,dev-004b12c48530,306,-17665.461,2025-11-02 03:50:40
2025-11-02 03:50:23,dev-004b12c48530,307,-16641.539,2025-11-02 03:50:40
2025-11-02 03:50:24,dev-004b12c48530,308,-15617.483,2025-11-02 03:50:40
2025-11-02 03:50:25,dev-004b12c48530,309,-14696.072,2025-11-02 03:50:40
2025-11-02 03:50:26,dev-004b12c48530,310,-13671.942,2025-11-02 03:50:40
2025-11-02 03:50:27,dev-004b12c48530,311,-12647.858,2025-11-02 03:50:40
2025-11-02 03:50:28,dev-004b12c48530,312,-11624.122,2025-11-02 03:50:40
2025-11-02 03:50:29,dev-004b12c48530,313,-10702.396,2025-11-02 03:50:40
2025-11-02 03:50:30,dev-004b12c48530,314,-9678.386,2025-11-02 03:50:40
2025-11-02 03:50:31,dev-004b12c48530,315,-8654.374,2025-11-02 03:50:40
2025-11-02 03:50:32,dev-004b12c48530,316,-7630.447,2025-11-02 03:50:40
2025-11-02 03:50:33,dev-004b12c48530,317,-6606.360,2025-11-02 03:50:40
2025-11-02 03:50:34,dev-004b12c48530,318,-5684.616,2025-11-02 03:50:40
2025-11-02 03:50:35,dev-004b12c48530,319,-4660.597,2025-11-02 03:50:40
2025-11-02 03:50:36,dev-004b12c48530,320,-3636.609,2025-11-02 03:50:40
2025-11-02 03:50:37,dev-004b12c48530,321,-2612.482,2025-11-02 03:50:40
2025-11-02 03:50:38,dev-004b12c48530,322,-1588.505,2025-11-02 03:50:40
2025-11-02 03:50:39,dev-004b12c48530,323,-667.200,2025-11-02 03:50:40
2025-11-02 03:50:40,dev-004b12c48530,324,356.809,2025-11-02 03:50:40
2025-11-02 03:50:41,dev-004b12c48530,325,1380.790,2025-11-02 03:50:40
2025-11-02 03:50:42,dev-004b12c48530,326,2404.866,2025-11-02 03:50:40
2025-11-02 03:50:43,dev-004b12c48530,327,3428.859,2025-11-02 03:50:40
2025-11-02 03:50:44,dev-004b12c48530,328,4350.464,2025-11-02 03:50:40
2025-11-02 03:50:45,dev-004b12c48530,329,5374.578,2025-11-02 03:50:40
2025-11-02 03:50:46,dev-004b12c48530,330,6398.428,2025-11-02 03:50:40
2025-11-02 03:50:47,dev-004b12c48530,331,7422.438,2025-11-02 03:50:40
2025-11-02 03:50:48,dev-004b12c48530,332,8446.487,2025-11-02 03:50:40
2025-11-02 03:50:49,dev-004b12c48530,333,9368.259,2025-11-02 03:50:40
2025-11-02 03:50:50,dev-004b12c48530,334,10392.257,2025-11-02 03:50:40
2025-11-02 03:50:51,dev-004b12c48530,335,11416.314,2025-11-02 03:50:40
2025-11-02 03:50:52,dev-004b12c48530,336,12440.283,2025-11-02 03:50:40
2025-11-02 03:50:53,dev-004b12c48530,337,13464.113,2025-11-02 03:50:40
2025-11-02 03:50:54,dev-004b12c48530,338,14385.665,2025-11-02 03:50:40
2025-11-02 03:50:55,dev-004b12c48530,339,15409.685,2025-11-02 03:50:40
2025-11-02 03:50:56,dev-004b12c48530,340,16433.669,2025-11-02 03:50:40
2025-11-02 03:50:57,dev-004b12c48530,341,17457.592,2025-11-02 03:50:40
2025-11-02 03:50:58,dev-004b12c48530,342,18481.643,2025-11-02 03:50:40
2025-11-02 03:50:59,dev-004b12c48530,343,19403.367,2025-11-02 03:50:40
2025-11-02 03:51:00,dev-004b12c48530,344,20427.063,2025-11-02 03:50:40
2025-11-02 03:51:01,dev-004b12c48530,345,21451.280,2025-11-02 03:50:40
2025-11-02 03:51:02,dev-004b12c48530,346,22475.302,2025-11-02 03:50:40
2025-11-02 03:51:03,dev-004b12c48530,347,23499.313,2025-11-02 03:50:40
2025-11-02 03:51:04,dev-004b12c48530,348,24421.084,2025-11-02 03:50:40
2025-11-02 03:51:05,dev-004b12c48530,349,25445.121,2025-11-02 03:50:40
2025-11-02 03:51:06,dev-004b12c48530,350,26468.929,2025-11-02 03:50:40
2025-11-02 03:51:07,dev-004b12c48530,351,27492.854,2025-11-02 03:50:40
2025-11-02 03:51:08,dev-004b12c48530,352,28516.899,2025-11-02 03:50:40
2025-11-02 03:51:09,dev-004b12c48530,353,29438.539,2025-11-02 03:50:40
2025-11-02 03:51:10,dev-004b12c48530,354,30462.489,2025-11-02 03:50:40
2025-11-02 03:51:11,dev-004b12c48530,355,31486.662,2025-11-02 03:50:40
2025-11-02 03:51:12,dev-004b12c48530,356,32510.557,2025-11-02 03:50:40
2025-11-02 03:51:13,dev-004b12c48530,357,33534.511,2025-11-02 03:50:40
2025-11-02 03:51:14,dev-004b12c48530,358,34456.165,2025-11-02 03:50:40
2025-11-02 03:51:15,dev-004b12c48530,359,35480.123,2025-11-02 03:50:40
2025-11-02 03:51:16,dev-004b12c48530,360,36504.170,2025-11-02 03:50:40
2025-11-02 03:51:17,dev-004b12c48530,361,37528.101,2025-11-02 03:50:40
2025-11-02 03:51:18,dev-004b12c48530,362,38449.765,2025-11-02 03:50:40
2025-11-02 03:51:19,dev-004b12c48530,363,39473.763,2025-11-02 03:50:40
2025-11-02 03:51:20,dev-004b12c48530,364,40497.861,2025-11-02 03:50:40
2025-11-02 03:51:21,dev-004b12c48530,365,41521.891,2025-11-02 03:50:40
2025-11-02 03:51:22,dev-004b12c48530,366,42545.783,2025-11-02 03:50:40
2025-11-02 03:51:23,dev-004b12c48530,367,43467.402,2025-11-02 03:50:40
2025-11-02 03:51:24,dev-004b12c48530,368,44491.291,2025-11-02 03:50:40
2025-11-02 03:51:25,dev-004b12c48530,369,45463.391,2025-11-02 03:50:40
2025-11-02 03:51:26,dev-004b12c48530,370,46539.389,2025-11-02 03:50:40
2025-11-02 03:51:27,dev-004b12c48530,371,47469.488,2025-11-02 03:50:40
2025-11-02 03:51:28,dev-004b12c48530,372,48485.157,2025-11-02 03:50:40
2025-11-02 03:51:29,dev-004b12c48530,373,49509.189,2025-11-02 03:50:40
2025-11-02 03:51:30,dev-004b12c48530,374,50533.417,2025-11-02 03:50:40
2025-11-02 03:51:31,dev-004b12c48530,375,51557.131,2025-11-02 03:50:40
2025-11-02 03:51:32,dev-004b12c48530,376,52581.193,2025-11-02 03:50:40
2025-11-02 03:51:33,dev-004b12c48530,377,53502.593,2025-11-02 03:50:40
2025-11-02 03:51:34,dev-004b12c48530,378,54526.465,2025-11-02 03:50:40
2025-11-02 03:51:35,dev-004b12c48530,379,55550.570,2025-11-02 03:50:40
2025-11-02 03:51:36,dev-004b12c48530,380,56574.539,2025-11-02 03:50:40
2025-11-02 03:51:37,dev-004b12c48530,381,57598.601,2025-11-02 03:50:40
2025-11-02 03:51:38,dev-004b12c48530,382,58520.422,2025-11-02 03:50:40
2025-11-02 03:51:39,dev-004b12c48530,383,59544.192,2025-11-02 03:50:40
2025-11-02 03:51:40,dev-004b12c48530,384,60568.154,2025-11-02 03:50:40
2025-11-02 03:51:41,dev-004b12c48530,385,61592.174,2025-11-02 03:50:40
2025-11-02 03:51:42,dev-004b12c48530,386,62616.352,2025-11-02 03:50:40
2025-11-02 03:51:43,dev-004b12c48530,387,63537.795,2025-11-02 03:50:40
2025-11-02 03:51:44,dev-004b12c48530,388,-63438.102,2025-11-02 03:52:48
2025-11-02 03:51:45,dev-004b12c48530,389,-62414.169,2025-11-02 03:52:48
2025-11-02 03:51:46,dev-004b12c48530,390,-61390.174,2025-11-02 03:52:48
2025-11-02 03:51:47,dev-004b12c48530,391,-60366.036,2025-11-02 03:52:48
2025-11-02 03:51:48,dev-004b12c48530,392,-59444.426,2025-11-02 03:52:48
2025-11-02 03:51:49,dev-004b12c48530,393,-58307.773,2025-11-02 03:52:48
2025-11-02 03:51:50,dev-004b12c48530,394,-57283.716,2025-11-02 03:52:48
2025-11-02 03:51:51,dev-004b12c48530,395,-56259.740,2025-11-02 03:52:48
2025-11-02 03:51:52,dev-004b12c48530,396,-55440.269,2025-11-02 03:52:48
2025-11-02 03:51:53,dev-004b12c48530,397,-54423.622,2025-11-02 03:52:48
2025-11-02 03:51:54,dev-004b12c48530,398,-53402.947,2025-11-02 03:52:48
2025-11-02 03:51:55,dev-004b12c48530,399,-52378.887,2025-11-02 03:52:48
2025-11-02 03:51:56,dev-004b12c48530,400,-51354.962,2025-11-02 03:52:48
2025-11-02 03:51:57,dev-004b12c48530,401,-50347.887,2025-11-02 03:52:48
2025-11-02 03:51:58,dev-004b12c48530,402,-49409.157,2025-11-02 03:52:48
2025-11-02 03:51:59,dev-004b12c48530,403,-48385.199,2025-11-02 03:52:48
2025-11-02 03:52:00,dev-004b12c48530,404,-47361.068,2025-11-02 03:52:48
2025-11-02 03:52:01,dev-004b12c48530,405,-46336.909,2025-11-02 03:52:48
2025-11-02 03:52:02,dev-004b12c48530,406,-45313.264,2025-11-02 03:52:48
2025-11-02 03:52:03,dev-004b12c48530,407,-44391.728,2025-11-02 03:52:48
2025-11-02 03:52:04,dev-004b12c48530,408,-43367.440,2025-11-02 03:52:48
2025-11-02 03:52:05,dev-004b12c48530,409,-42343.678,2025-11-02 03:52:48
2025-11-02 03:52:06,dev-004b12c48530,410,-41319.775,2025-11-02 03:52:48
2025-11-02 03:52:07,dev-004b12c48530,411,-40295.644,2025-11-02 03:52:48
2025-11-02 03:52:08,dev-004b12c48530,412,-39374.123,2025-11-02 03:52:48
2025-11-02 03:52:09,dev-004b12c48530,413,-38350.103,2025-11-02 03:52:48
2025-11-02 03:52:10,dev-004b12c48530,414,-37325.893,2025-11-02 03:52:48
2025-11-02 03:52:11,dev-004b12c48530,415,-36302.120,2025-11-02 03:52:48
2025-11-02 03:52:12,dev-004b12c48530,416,-35380.355,2025-11-02 03:52:48
2025-11-02 03:52:13,dev-004b12c48530,417,-34356.376,2025-11-02 03:52:48
2025-11-02 03:52:14,dev-004b12c48530,418,-33332.340,2025-11-02 03:52:48
2025-11-02 03:52:15,dev-004b12c48530,419,-32308.486,2025-11-02 03:52:48
2025-11-02 03:52:16,dev-004b12c48530,420,-31284.487,2025-11-02 03:52:48
2025-11-02 03:52:17,dev-004b12c48530,421,-30367.768,2025-11-02 03:52:48
2025-11-02 03:52:18,dev-004b12c48530,422,-29366.495,2025-11-02 03:52:48
2025-11-02 03:52:19,dev-004b12c48530,423,-28361.504,2025-11-02 03:52:48
2025-11-02 03:52:20,dev-004b12c48530,424,-27360.445,2025-11-02 03:52:48
2025-11-02 03:52:21,dev-004b12c48530,425,-26266.884,2025-11-02 03:52:48
2025-11-02 03:52:22,dev-004b12c48530,426,-25345.264,2025-11-02 03:52:48
2025-11-02 03:52:23,dev-004b12c48530,427,-24321.240,2025-11-02 03:52:48
